address,level,
0x5eb69ea32cf81248c1026005b90d170b5a4b57d6,high,",('0x5eb69ea32cf81248c1026005b90d170b5a4b57d6','high')"
0x36856b139f746eaf53f0a5903d33f948005ceea4,high,",('0x36856b139f746eaf53f0a5903d33f948005ceea4','high')"
0xcc0657f6f3107f3540225794df014a6d835f2f0b,high,",('0xcc0657f6f3107f3540225794df014a6d835f2f0b','high')"
0x4977117342bcaf6873ad9af6a0df0975a5635e4a,high,",('0x4977117342bcaf6873ad9af6a0df0975a5635e4a','high')"
0x2dcd860489cd099fb966d1729f890b8c5c997908,high,",('0x2dcd860489cd099fb966d1729f890b8c5c997908','high')"
0x0678281d9e3faa9c8873503f36396a192c236ebc,high,",('0x0678281d9e3faa9c8873503f36396a192c236ebc','high')"
0x4230d0d07d9175533de895d8c980d5b07e959657,high,",('0x4230d0d07d9175533de895d8c980d5b07e959657','high')"
0xf617252a77c3d6a2b12dd83ca101e2f490aba03e,high,",('0xf617252a77c3d6a2b12dd83ca101e2f490aba03e','high')"
0x4297e3348504ab12837bf4f7618d9e7e4310fee5,high,",('0x4297e3348504ab12837bf4f7618d9e7e4310fee5','high')"
0xbb76c9692fde302b4f780a1179943f21cdf762bd,high,",('0xbb76c9692fde302b4f780a1179943f21cdf762bd','high')"
0x7d14780c3b4c2ec8e05b6082351c4ab2ea51b47d,high,",('0x7d14780c3b4c2ec8e05b6082351c4ab2ea51b47d','high')"
0x348d16d40b1ff1c25912d51d3367fad626461c53,high,",('0x348d16d40b1ff1c25912d51d3367fad626461c53','high')"
0xc871564030f775abe8ba9fb420ac34daa7deb94c,high,",('0xc871564030f775abe8ba9fb420ac34daa7deb94c','high')"
0x701ef401122679826e5135a6baf5f2df45dc7c64,high,",('0x701ef401122679826e5135a6baf5f2df45dc7c64','high')"
0x6c64c7d1b9e741d1aa95a9c9bfc87ac3ad38689d,high,",('0x6c64c7d1b9e741d1aa95a9c9bfc87ac3ad38689d','high')"
0x2a08408b06dbd1e40c6c3292ee1adbbabe3b19f1,high,",('0x2a08408b06dbd1e40c6c3292ee1adbbabe3b19f1','high')"
0x28e69c135128483e66a3210b530d9dcebc70b319,high,",('0x28e69c135128483e66a3210b530d9dcebc70b319','high')"
0xc7ccb90bd7421e75dcc204f1b8de4063a858cbb9,high,",('0xc7ccb90bd7421e75dcc204f1b8de4063a858cbb9','high')"
0x59f57a0220caeb9d31fd16cf556187c74f439c18,high,",('0x59f57a0220caeb9d31fd16cf556187c74f439c18','high')"
0xd788c72eef084c34f672d13298b6b18e376bf0a2,high,",('0xd788c72eef084c34f672d13298b6b18e376bf0a2','high')"
0x0a107bfb415e7ba5829faf62b23c7e9621006653,high,",('0x0a107bfb415e7ba5829faf62b23c7e9621006653','high')"
0xfb538cada165fa5248fd9912ec825f3bd62afe20,high,",('0xfb538cada165fa5248fd9912ec825f3bd62afe20','high')"
0x650151ed61ca09f4136ec0cc2ff5980ac4e5e97f,high,",('0x650151ed61ca09f4136ec0cc2ff5980ac4e5e97f','high')"
0xa0496b5d616cc136cbe216aaf90bfe42d7617428,high,",('0xa0496b5d616cc136cbe216aaf90bfe42d7617428','high')"
0x6980ac0101867cdb7b7a9d10a81cf6864b2fc72c,high,",('0x6980ac0101867cdb7b7a9d10a81cf6864b2fc72c','high')"
0xfadb6fb85927514649faa46e04472c6b41f8898d,high,",('0xfadb6fb85927514649faa46e04472c6b41f8898d','high')"
0x2d9f502b3713c73620bb82f18f133ce95df148b2,high,",('0x2d9f502b3713c73620bb82f18f133ce95df148b2','high')"
0xa27c09529e88d136980abe0b21799ebe9485032b,high,",('0xa27c09529e88d136980abe0b21799ebe9485032b','high')"
0x8ea58b4c5eb8bf844fde4fea31c50b2eb5e1d34e,high,",('0x8ea58b4c5eb8bf844fde4fea31c50b2eb5e1d34e','high')"
0xe52a96bc297e12cc30cd5806dd1a54d45ad13f9c,high,",('0xe52a96bc297e12cc30cd5806dd1a54d45ad13f9c','high')"
0x9a914258bc9b281ed1b0c5772529a3ef26247bfe,high,",('0x9a914258bc9b281ed1b0c5772529a3ef26247bfe','high')"
0xd19543236bb7f7c1f49b8b26325150230cfcf7ad,high,",('0xd19543236bb7f7c1f49b8b26325150230cfcf7ad','high')"
0xef4f528037e73353b36a8d8b1d97f604fc06153c,high,",('0xef4f528037e73353b36a8d8b1d97f604fc06153c','high')"
0x6bcbbbf3046743155ba0d8bc33ae1a37b0ff58f8,high,",('0x6bcbbbf3046743155ba0d8bc33ae1a37b0ff58f8','high')"
0xa7d210e51102da7fba8f181adadbcd9101c7c78a,high,",('0xa7d210e51102da7fba8f181adadbcd9101c7c78a','high')"
0x6f79b256301ae61544988faf376869f79893edb8,high,",('0x6f79b256301ae61544988faf376869f79893edb8','high')"
0xf27208f05048cc80388c4edfaa36be458eb1e73f,high,",('0xf27208f05048cc80388c4edfaa36be458eb1e73f','high')"
0x26364210672f096c0d5f22f9c4e39dd8aaf69e23,high,",('0x26364210672f096c0d5f22f9c4e39dd8aaf69e23','high')"
0xb20e04cf65ec9072badd55b5288293e06647774d,high,",('0xb20e04cf65ec9072badd55b5288293e06647774d','high')"
