address,all_rule_score,level
0x08392fa6541b16c632ee82f6c289d2a01d3b704d,9,high
0xbad32f16512bddb55a1e7e7809a184df9da1f336,9,high
0xbaae6f9c73da9d2ad3b5099a4d14764c34101dea,9,high
0xf8591d86932a6976b988bce55da23830e231eccb,9,high
0x98d967b8f211902f973b7eff4551a3109bba7b94,9,high
0x24d4f436779ae48e943b21e1e7644fc73d439516,9,high
0xa5d981bc0bc57500ffedb2674c597f14a3cb68c1,9,high
0x0d90727f39821547b07d860539585c46f69f8887,9,high
0xa561b11de944f7ebd9661bad6ab389390020f7c4,9,high
0x11090b3db971d6d5c5a9f4996a5814ae7afe5cb2,9,high
0x6ee2627806a69ae540ac38f3b66fcc1e88a7e19a,9,high
0x45ae685e30e53bccb436a38e68838c12c9e91561,9,high
0xa077bffb96cc16ebe160bc163b8bba20e07cdb83,9,high
0x5674f15ed47a7d77b50dcfcf1d04fb95e316a068,9,high
0x88221a954183e05e2a2fd5740d60a961db77c535,9,high
0x86d8e69a6c74694285d836e785db9d5e28a189e6,9,high
0xdf3092f8a0d0adb62141c14463d83e160f33e4cc,9,high
0x49e2a92ffc6cf8b91502b933ba098f9bbf065b74,9,high
0xd52902a3d4b54557f34b96e97284818e3c21ac3b,9,high
0x0f3d8cf1f5802061a68c4b558b21c72e41f44e2f,9,high
0x62d82e6f3678caccdb27249ba455f2eb95259280,9,high
0x40e145f5bbe24f3a64891123582f3a6b2a8e770b,9,high
0xd4a330999f8776f8df642c742d1cf6cf03472b78,9,high
0x019c62c406672dfc00502fbf6abba0d66e55afa5,9,high
0x9dfc00743860b931da6dd9f142ad4ee1c1352aea,9,high
0xdc1117149e2babd80d9f1dfb104d65e67f4ae76d,9,high
0x7a7a7930d462b959e5d1b34b0a34ca2452dcb1ab,9,high
0x54733e949758a8ba9b8f2d4519d91e44aee561e3,9,high
0xe527e778aedcccedff1511733e2cdb8ecfbd7438,9,high
0x0d57ee48a25f396590dbdff38bb8346019c4bb4a,9,high
0x89d8671f10b25b72be3d40364eee569216b19a17,9,high
0xea40b4eaad98da0058fdbfda40d31cf6fc0ae608,9,high
0x88827f6ff1e9835118a5776d63c294785f56dbb7,9,high
0x82cc947b571de9f9d82aee8c91e0de40520c14e4,9,high
0x4d61eff0f6366162d985d85847e44cb446da5842,9,high
0x4b202a02baf74b37216242c689956f6e2c2442b8,9,high
0x3fd12e6fe1b023790fa7826da391befc34ec55e6,9,high
0x0fed38a4885cebe54798b4b84fbe37e5d273ef40,9,high
0x6fb3202dae2328cfcc8e497132eb3dba10655095,9,high
0xf6a7bf4a70cc1d495a8bae4b6f1373b9615a0aa6,9,high
0xd64f9a8693e667428afe9c1e1a7f1d6772d82ea8,9,high
0x6bf21fe298b20fde5ee9c26ac6a3266924057f5c,9,high
0x82eedd342f7f2812da451bcb07e9231569e11815,9,high
0x5bb702a9d552c2f68e897102cbe7873a97b2b07c,9,high
0x87b0f3e90a3c26ccf8e6f898df8c49b1b97d6efd,9,high
0x744744b4868fd995383f6b7faaad459e6d9b3b11,9,high
0x4665ab21e28c6bf8ad789a060a484e8bc0ed49f3,9,high
0x403e525d522742591e16f1cefd0247e813c5db5e,9,high
0xf5f6ae993974de867940c5b69d922d61227a6370,9,high
0x17fdff6effad5662fd87aee64cdab1a0ae499549,9,high
0x7410bca3fe99852d1606da2fbeecb16076ee1792,9,high
0x27af1da0f46b4ba49777bcd97df8182109fdd269,9,high
0xea2c6114ad8541a740ee2fa74022918a99722d8c,9,high
0xd0a199c17cb34e16e7824f545c62046b8f8a2640,9,high
0xa871d4196446bb456a466ba02bae9917779cc6e7,9,high
0xc9e4c5b2db7994a1828ccceec9cdf293dd614d2a,9,high
0x4dc6d324b08ce8f1c7f2b9b8777c990e54fce943,9,high
0x487da7cb178276a857ff8318da1a12c0e428ee89,9,high
0xdef57920fc0ca3bbdd079ef435861fc748df0dad,9,high
0x6d8b457ccb5dbedf5eefc86a415d10f492b5f369,9,high
0x826864f36ae81bd4fdd0aee3790964261617eeb6,9,high
0xa4f581afd3f375da7ed9d28d3fdb8efdc46130da,9,high
0x7c7b26f17492f6d85468c1b3ed5ccec96611c32d,9,high
0x610f9518ee2fe60503218a77b91dc18def63f9a2,9,high
0xada091ce0d0a21ba28f3ae65f24f57022915ed0b,9,high
0x2e3a1b0201dbd169ee8ceefa2e0148116cf83475,9,high
0xf6c95a7632004fe10422302d1cdc47fbe9820a29,9,high
0x70fb75e866d6eb8fa80a454acfe3f44002b326da,9,high
0x1681caf17b885c6db91e998c7ede5a00f805338e,9,high
0x1cfd9e509f7acb087880e39ad30932a69c5cc0e4,9,high
0xa32b091a926d1fa2d0a50d6f298b2dac34714381,9,high
0x4a707d922f7c9ad9b5f6a32ca612cfbbbf4ba0d4,9,high
0x7c364150afdfdf6a2bd0dd769b8a3a82658ac35e,9,high
0x9d593e11e5cd8a39d377c8ebc61fb9119e43b5d9,9,high
0x2d9e67b23b073ee53b65a011b4c041c5a5810961,9,high
0x8a1c8a50b09bb052845558be525a1ab2fe073d06,9,high
0x96b96c944f4f9eb6f9e949d622ed7d03d4447bc3,9,high
0x73974fdf2f866deee314e84bc7e5200362d7bef5,9,high
0xe1bef8ce6524e893bd17084ab8862c6344f584fb,9,high
0xf2f46a85f2a83d80cea9ed2db828f71ccf8d3b84,9,high
0x0e6e273f07e75360198e5ae54c20b4177ef0d86b,9,high
0xd739880c82dd706349e94ad87ac6084de52d45d2,9,high
0x795d43ea89360ea196de46bc6b6da8bb027f8dfa,9,high
0x20dafb964ad6c95ce4265e6373159851a03e2d4a,8,high
0xdd32370c73b00fc8d41b91834756d41df5ce082f,8,high
0x9d18971ca58fc68f41e32af75569e8aeed1051be,8,high
0x021c7886dee93cabe5960f193fad895441597fe2,8,high
0xecdc5b9c7f4d3249ce28001121a00dccff6900dc,8,high
0xf978e91a151a86a8f7706954fc38979701444807,8,high
0x68cf582e7680e2835ac73d280ecb0092f013793c,8,high
0xa55c7ac98d78a60f2a6b9e5d24a9269059244f9d,8,high
0xe1c032d0f86a70a196463c22a9de4786683fb881,8,high
0xf6e9437d537a3566305878af38ac704830cdfb9d,8,high
0x5550fe62d652b0a6dfa563a8ae28d794115678eb,8,high
0x17a38454e4e1f7eca9460de309eed67a3b70aab0,8,high
0x2967ca89c96792e938d8475d81fc66c8180490e0,8,high
0xe81868c4ffb488fb778b4ccbea169281138a640c,8,high
0xc0f0e1ee78cef68717445926ccd0bb463d5593c5,8,high
0x299bc6e652103d0f341032de5a3b88154c3c79ed,8,high
0xec5aaad861251d7ac6ea4fcaccd881eb000debfd,8,high
0x0e5610b7e42e134d9d57224db6b47ce75afa87c9,8,high
0xfc17583eb6311b2f82d38feab55e9deb8d4b6521,8,high
0x8a5fc420a3fa2c48fcccf08ce3df1bc99b9f53ea,8,high
0xd69e10faec9c7e8154c2e95bdbcce4e4c8150b11,8,high
0x45dbe1dde4a6ed8462933da0f0df3f8998891b7b,8,high
0xc1e95e8fe861230ed8d81235e58e056bde90d18d,8,high
0x70ad52a9b22dacddfb81b324e580db1605de7526,8,high
0x0aaf85ed99ee0314e610638fe674f4266b21f0e4,8,high
0x9dcce9886a215ff9e7baeda432169c9d9412c1f5,8,high
0x9bf447274d1cc0b8af7bb3bb97834e3d5476222e,8,high
0x9abcd812bffc1ef2e81a2dde75b5ed8809289d9d,8,high
0xb4bf7c299ba036fb3badeeef74aa2ec61c69eb04,8,high
0xa16657bd148022b79d5e0f088ed405e49022491d,8,high
0xa39dad4b0c72c9cbdf09eb8615b92c00e2906eaa,8,high
0x3391bf74e1eb60cf9a5941499863cb0513106886,8,high
0x105fd16339015ec6e849857e55da37cd72e87716,8,high
0xf4ffb8d7e1989cd561a2fb0dc3d7feb862617d32,8,high
0x766d459453ed5d365eb55767aa335debbae68449,8,high
0x1a4c05f9c8752a5a6c8ef5afe8f8041681a8e034,8,high
0x27de0fa057415f722365e64a7005d80cb2f3be1f,8,high
0xf87ad72a3625f1bbf87cabd14dab933f776739fa,8,high
0x592cbc0cd23129e5bb91c2404064009e62972938,8,high
0xd17cc538fcda821956c7700a953b64ad43c572b9,8,high
0xb0d245fb74872a497644e507d0a0ec4846ca5afb,8,high
0xdc55b1d755f628c92fbdb8ed130851c1a7f529bb,8,high
0x96468b7005f1ba661799404b8b28cb29d9a03521,8,high
0x064d854b9e0afa9223fb10b9cd596009c327170a,8,high
0xee6c02c9e9e50a7a44d1aebb564a42b80aa534b0,8,high
0x014bcbc7ab0eaa72688b91fc2063c50a0a38342e,8,high
0xb159f08da7f24bac5f79e832562725f03a4b1cef,8,high
0x8515a1027a4a65412c8e57bdb1dfe728c2cf9348,8,high
0x8bc8b4e4921101bcc56ec084b906069b73de7276,8,high
0xda3cbf72333b5821f36da7baf64fa6e38cbb4a5a,8,high
0x16c7bd8c8cd59874fdfe3136632ce63cee7a178f,8,high
0xd511f7d8738e519820f4e4194bddb253c1ce517b,8,high
0xa622b86f5df035641bd330bca66f518aa139df95,8,high
0xdbc5b800fcefb9988adc7e99b03869144072c543,8,high
0x8bd6c8273886a186585f6b5fb2d2868c8e1f9d35,8,high
0x8111a6c9ec2824275d51ee01ed87bf02c2d18ae2,8,high
0x6894132b5e8d568e30bfe5ef979073c928920133,8,high
0x0a860ab1098d2d0f16e58e4b4e58e39229391928,8,high
0xc433aad58c7af965a5ce7a3647286e46d333812b,8,high
0x2c351b11e348ed473d9b8d8bccbd9070225d5564,8,high
0x712338153497ca881d989a695859ec45a191b1db,8,high
0x04e57f72319d531b87523306258adfbd353f0c3a,8,high
0x51afc2596096738e3b04fcdf50698d71477f237b,8,high
0x19559c70e22980b49183dc0b0fe6b51d3b448977,8,high
0x4a51bd5146b0fabf42f9f33c222a7965b5f166ab,8,high
0xc5b58ddc017787be983cc5377d88fbdc429c611e,8,high
0xf86ea8734b64dd9c022f3cc5fe533ddfe1ee8bfc,8,high
0x45cb8f66b256382729b2887217edb25e731e56bf,8,high
0x090e95678c47cb536ceb42211a27ea55bf90d79e,8,high
0xdc0046b52e2e38aee2271b6171ebb65ccd337518,8,high
0x976beebbcf1a819b770fdf73e8e134137e8306bc,8,high
0xa5f753272d7157661b36714be0ac7a64ff2f2973,8,high
0x218e0d2d9080f0fc6f6fb2a95604b716e0aa8b24,8,high
0x7d4e5ee8ab737ab69ba56bb329e456c715af6786,8,high
0x03a57292eeba51eecb435d067595adb46eb78691,8,high
0x79ddf842df16192dbc425ffcc6d9208e1416905e,8,high
0xc24d8266c47f957a4a4115bd39d7fe1b0366a067,8,high
0x896fdde179d1c5f193670e960f70e13ac2e35875,8,high
0x7800d0826ee1d9698d7039c0d9cf3e4f4c58c7fb,8,high
0x451d5024a1d4b46f43233672266306fdfc74e82d,8,high
0x617eea439ff520fbdb8006d6c69e96422e958727,8,high
0xb4d1485cea439d46f124a12567d93365a0a297ba,8,high
